Dealer First Card,Player Start Hand,Dealer End Hand,Player End Hand,Dealer Busted,Player Busted,Game Result
9,14,17,24,False,True,lose
10,14,21,19,False,False,lose
10,16,14,25,False,True,lose
10,19,20,19,False,False,lose
1,18,18,18,False,False,tie
1,19,19,19,False,False,tie
10,13,15,23,False,True,lose
4,12,17,12,False,False,lose
9,20,17,20,False,False,win
2,21,21,21,False,False,tie
8,19,18,19,False,False,win
10,15,17,19,False,False,win
10,11,25,20,True,False,win
4,12,18,12,False,False,lose
10,14,20,19,False,False,lose
6,13,18,13,False,False,lose
9,17,20,17,False,False,lose
3,16,21,16,False,False,lose
7,21,20,21,False,False,win
10,16,20,22,False,True,lose
2,18,25,18,True,False,win
10,13,20,18,False,False,lose
6,17,26,17,True,False,win
10,16,15,24,False,True,lose
10,18,17,18,False,False,win
10,19,22,19,True,False,win
10,21,18,21,False,False,win
3,21,23,21,True,False,win
4,15,22,15,True,False,win
1,21,21,21,False,False,tie
10,13,21,22,False,True,lose
9,15,14,22,False,True,lose
9,16,18,17,False,False,lose
4,14,17,14,False,False,lose
6,10,20,20,False,False,tie
3,16,19,16,False,False,lose
10,12,23,21,True,False,win
10,13,16,24,False,True,lose
10,19,18,19,False,False,win
6,15,24,15,True,False,win
2,17,22,17,True,False,win
8,18,18,18,False,False,tie
5,15,18,15,False,False,lose
5,20,24,20,True,False,win
4,7,18,16,False,False,lose
8,19,23,19,True,False,win
3,14,20,14,False,False,lose
10,15,17,17,False,False,tie
6,13,20,13,False,False,lose
7,15,17,18,False,False,win
10,12,20,20,False,False,tie
10,17,20,17,False,False,lose
9,9,26,19,True,False,win
3,20,17,20,False,False,win
9,20,25,20,True,False,win
8,5,17,25,False,True,lose
10,13,19,21,False,False,win
7,16,17,25,False,True,lose
2,19,22,19,True,False,win
9,16,18,19,False,False,win
9,13,11,23,False,True,lose
4,9,21,20,False,False,lose
9,13,11,23,False,True,lose
9,15,25,17,True,False,win
2,20,19,20,False,False,win
3,10,17,20,False,False,win
10,21,24,21,True,False,win
1,18,21,18,False,False,lose
3,19,18,19,False,False,win
6,20,20,20,False,False,tie
4,21,24,21,True,False,win
2,18,17,18,False,False,win
10,17,20,17,False,False,lose
10,16,20,17,False,False,lose
4,11,21,18,False,False,lose
10,20,22,20,True,False,win
3,18,22,18,True,False,win
4,20,19,20,False,False,win
10,19,20,19,False,False,lose
10,15,24,19,True,False,win
10,20,22,20,True,False,win
4,12,25,12,True,False,win
4,17,22,17,True,False,win
10,6,18,17,False,False,lose
5,12,22,12,True,False,win
7,9,24,19,True,False,win
8,13,19,18,False,False,lose
9,18,26,18,True,False,win
10,14,17,19,False,False,win
9,12,19,25,False,True,lose
7,12,17,17,False,False,tie
10,20,24,20,True,False,win
6,13,22,13,True,False,win
3,20,25,20,True,False,win
10,4,20,17,False,False,lose
10,20,19,20,False,False,win
3,15,20,15,False,False,lose
1,20,20,20,False,False,tie
3,11,25,21,True,False,win
10,15,21,17,False,False,lose
