Dealer First Card,Player Start Hand,Dealer End Hand,Player End Hand,Dealer Busted,Player Busted,Game Result
9,14,17,24,False,True,lose
10,14,21,19,False,False,lose
10,16,14,25,False,True,lose
10,19,20,19,False,False,lose
1,18,9,25,False,True,lose
1,19,19,19,False,False,tie
10,13,15,23,False,True,lose
4,12,21,19,False,False,lose
9,20,17,20,False,False,win
2,21,21,21,False,False,tie
8,19,18,19,False,False,win
10,15,17,19,False,False,win
10,11,25,20,True,False,win
4,12,18,21,False,False,win
10,14,20,19,False,False,lose
6,13,16,24,False,True,lose
9,17,20,25,False,True,lose
3,16,14,23,False,True,lose
7,21,20,21,False,False,win
10,16,20,22,False,True,lose
2,18,22,21,True,False,win
10,13,20,26,False,True,lose
6,17,16,27,False,True,lose
10,16,15,24,False,True,lose
10,18,22,19,True,False,win
10,19,22,19,True,False,win
10,21,18,21,False,False,win
3,21,23,21,True,False,win
4,15,6,22,False,True,lose
1,21,21,21,False,False,tie
10,13,21,22,False,True,lose
9,15,14,22,False,True,lose
9,16,25,20,True,False,win
4,14,15,26,False,True,lose
6,10,20,20,False,False,tie
3,16,5,25,False,True,lose
10,12,23,21,True,False,win
10,13,16,24,False,True,lose
10,19,18,19,False,False,win
6,15,16,23,False,True,lose
2,17,7,22,False,True,lose
8,18,18,19,False,False,win
5,15,15,26,False,True,lose
5,20,24,20,True,False,win
4,7,17,19,False,False,win
8,19,23,19,True,False,win
3,14,23,21,True,False,win
10,15,17,27,False,True,lose
6,13,10,23,False,True,lose
7,15,17,23,False,True,lose
10,12,20,20,False,False,tie
10,17,20,21,False,False,win
9,9,26,19,True,False,win
3,20,17,20,False,False,win
9,20,25,20,True,False,win
8,5,17,25,False,True,lose
10,13,19,21,False,False,win
7,16,17,25,False,True,lose
2,19,22,19,True,False,win
9,16,18,19,False,False,win
9,13,11,23,False,True,lose
4,9,21,20,False,False,lose
9,13,11,23,False,True,lose
9,15,23,19,True,False,win
2,20,19,20,False,False,win
3,10,17,20,False,False,win
10,21,24,21,True,False,win
1,18,11,28,False,True,lose
3,19,18,19,False,False,win
6,20,20,20,False,False,tie
4,21,24,21,True,False,win
2,18,7,28,False,True,lose
10,17,20,27,False,True,lose
10,16,26,21,True,False,win
4,11,19,20,False,False,win
10,20,22,20,True,False,win
3,18,19,21,False,False,win
4,20,19,20,False,False,win
10,19,20,19,False,False,lose
10,15,24,19,True,False,win
10,20,22,20,True,False,win
4,12,6,22,False,True,lose
4,17,12,27,False,True,lose
10,6,25,19,True,False,win
5,12,9,25,False,True,lose
7,9,24,19,True,False,win
8,13,19,28,False,True,lose
9,18,23,21,True,False,win
10,14,17,19,False,False,win
9,12,19,25,False,True,lose
7,12,19,19,False,False,tie
10,20,24,20,True,False,win
6,13,12,23,False,True,lose
3,20,25,20,True,False,win
10,4,20,23,False,True,lose
10,20,19,20,False,False,win
3,15,18,19,False,False,win
1,20,20,20,False,False,tie
3,11,25,21,True,False,win
10,15,21,23,False,True,lose
